probe_id,GSM3584982,GSM3584983,GSM3584984,GSM3584985,GSM3584986,GSM3584987,GSM3584988,GSM3584989,GSM3584990,GSM3584991,GSM3584992,GSM3584993,GSM3584994,GSM3584995,GSM3584996,GSM3584997,GSM3584998,GSM3584999,GSM3585000,GSM3585001,GSM3585002,GSM3585003,GSM3585004,GSM3585005,GSM3585006,GSM3585007,GSM3585008,GSM3585009,GSM3585010,GSM3585011,GSM3585012,GSM3585013,GSM3585014,GSM3585015,GSM3585016,GSM3585017
ILMN_1651343,6.734093742,6.734812241,6.693354953,6.885049238,6.679799952,6.703693879,6.829049993,6.790101621,6.776059113,6.767983769,6.814558191,6.675743237,6.747989496,6.654744506,6.794908103,6.556796318,6.777031103,6.643254942,7.12932205,6.871111843,6.611416082,6.728513207,7.042011673,6.519338415,6.680146379,6.690580055,6.798349061,6.768936159,6.710571652,6.809792484,6.831882998,6.687667284,6.923822661,6.646367789,6.997927883,6.54045097
ILMN_1651346,7.139066807,7.029851895,7.225371781,7.38339339,7.35878438,6.879397598,7.236666552,7.215606535,6.885003003,6.958201171,7.220744736,7.274995757,7.091094738,7.027466237,7.09703452,6.880186451,7.362093258,7.135048507,7.353213671,7.164945008,7.155604053,6.888005203,6.864045415,6.953887783,7.113978887,6.998547694,7.110285567,7.146510821,7.306545062,7.146202223,7.005284291,7.157251227,7.45467317,7.290926444,7.259671944,7.212072592
ILMN_1651347,8.394901108,8.366827202,8.37459494,8.697994271,8.14647225,8.437452603,8.375154647,8.14647225,8.294638152,8.045966449,8.4720677,8.360414826,8.186564484,8.386262604,8.776433032,8.098610353,8.344514482,8.355367783,8.167056952,8.453691538,8.336371308,8.030353636,8.163154094,8.335779433,8.409969441,8.456712205,8.292705073,8.468500628,8.527921227,8.226959477,8.497269719,8.402802136,8.468500628,8.495650652,8.059119093,8.338094817
ILMN_1651351,6.494037344,6.433047954,6.567495206,6.490516649,6.380625039,6.649473935,6.49197453,6.569366574,6.664851276,6.453208267,6.60250205,6.563745171,6.564957787,6.56815766,6.463338591,6.53959945,6.459835209,6.477328993,6.696835839,6.590416931,6.553949217,6.514684171,6.538776815,6.406043913,6.435638695,6.545432555,6.542562918,6.654093519,6.646585983,6.410676188,6.412088644,6.70725454,6.471367308,6.599405714,6.553425669,6.493916083
ILMN_1651354,6.674727273,6.595794319,6.790471919,6.799625044,6.542562918,6.703693879,6.838750309,6.863623142,6.609178738,6.744069334,7.065293727,6.970149477,6.759938607,6.819646897,6.681131908,6.899677334,6.578286911,6.963027416,7.413371495,6.578944429,6.758526079,6.716637616,6.864045415,7.018200179,6.851607093,6.647294883,6.766579101,7.146510821,6.853073222,6.728590505,6.718455038,6.610018149,6.790669373,6.691109019,6.667299738,6.737093669
ILMN_1651358,9.536291375,8.64014906,9.656421477,8.635917325,9.444536503,10.24397634,9.77306426,9.715455063,10.50575518,9.970819456,10.58174981,9.381370887,9.41619376,9.209508751,10.00479237,10.67774967,9.152505721,9.287406321,9.936342366,7.717533631,8.595999113,9.864529117,9.803742812,9.704961408,8.405576643,9.509999874,8.748967874,9.54255559,9.190030408,8.842171746,9.054049257,10.81994318,8.326889066,9.760064658,9.649191525,9.807028586
ILMN_1651364,6.609962203,6.776133904,6.732244528,6.694225962,6.596415671,6.741824449,6.691637788,6.569366574,6.776059113,6.519993577,6.619553069,6.655395199,6.784188674,6.596923852,6.513009748,6.574106096,6.609234714,6.782799702,6.518980929,6.752558042,6.506532992,6.56461143,6.977583489,6.642161121,6.669475648,6.570718206,6.719751796,6.611136604,6.685545205,6.623936898,6.669421961,6.882828283,6.60250205,6.772189588,6.680119734,6.765876253
ILMN_1651365,6.427408087,6.308407984,6.340187294,6.149708635,6.250370203,6.428740831,6.404883517,6.271109279,6.452272445,6.323327759,6.453582427,6.251876859,6.235796673,6.343555875,6.326497582,6.051414949,6.47769695,6.230493576,6.36373656,6.333900737,6.238115187,6.381542951,6.388734866,6.574851512,6.2135093,6.189225557,6.280278683,6.288481612,6.279997414,6.271392285,6.459866249,6.370225057,6.505991947,6.323088888,6.250370203,6.2705431
ILMN_1651369,6.494037344,6.468408059,6.680119734,6.584848647,6.579030171,6.493491592,6.628086472,6.569366574,6.452272445,6.565938683,6.436080552,6.563745171,6.434944075,6.668401534,6.575825706,6.333087569,6.530317657,6.568244044,6.569452886,6.708770388,6.497851837,6.49409797,6.6081708,6.50524016,6.52866129,6.893485402,6.572671521,6.639696987,6.496520937,6.608338839,6.657128947,6.532149276,6.34321937,6.360813838,6.405463831,6.632747404
ILMN_1651370,6.626594,6.625266061,6.51892134,6.554763248,6.664150952,6.592910003,6.641996976,6.499664724,6.547069789,6.486134144,6.520321046,6.749361579,6.677025538,6.640573606,6.575825706,6.677452718,6.706365198,6.62990851,6.658211483,6.760946709,6.611416082,6.584620913,6.648983935,6.561316878,6.540568381,6.583225257,6.572671521,6.505961883,6.579601648,6.863200745,6.681770811,6.552028611,6.697888998,6.583880529,6.792494539,6.737093669
