feature	n_pairs	statistic	p_value	p_adjust_bh	significant
Hs.155651_at	25	0.37756921936851068	0.062779495415242539	0.36110162575949561	false
Hs.155729_at	25	-0.18878460968425534	0.36612146112340704	0.66757066342517879	false
Hs.155742_at	25	-0.41277290683012385	0.040299105744642467	0.32386669068163587	false
Hs.155775_at	25	-0.1578363130147053	0.45113707222901345	0.72867892189395844	false
Hs.15580_at	25	0.059962324797253226	0.7758598198422173	0.90700696418843585	false
Hs.155823_at	25	0.011992464959450645	0.95462937578784501	0.98368373936011944	false
Hs.155827_at	25	0.426312786623052	0.033583205343898373	0.31114444563426286	false
Hs.155829_at	25	0.38453258611915941	0.057703389686136426	0.35181018971410905	false
Hs.155833_at	25	0.46422445004325086	0.019402530198566127	0.27529653625202272	false
Hs.155915_at	25	0.20193763576881413	0.33303539041931918	0.64242424418223198	false
Hs.155919_at	25	-0.71606621419171435	5.6921329583004808e-05	0.16122890349572147	false
Hs.15591_at	25	-0.014313587209666899	0.94585953172403259	0.98063207963702481	false
Hs.155942_at	25	0.035977394878351943	0.86443427554521979	0.94579002452977534	false
Hs.155959_at	25	0.3133515037791943	0.12719538928659624	0.44959539273010429	false
Hs.155975_at	25	-0.048743567254541334	0.81702147296830629	0.92501776985195316	false
Hs.155983_at	25	0.19110573193447158	0.36014812961013731	0.66415853753859899	false
Hs.155995_at	25	-0.24719951964803108	0.23352863826737183	0.56305445784724673	false
Hs.156055_at	25	0.18259495035034531	0.3823297389047362	0.67821471708697545	false
Hs.1560_at	25	-0.082012986174307648	0.69673711059027155	0.86846656542626699	false
Hs.156124_at	25	0.12688801634515523	0.54557087155796447	0.7866015359618852	false
Hs.156135_at	25	0.042553907920631323	0.83994203912224852	0.93431859490594404	false
Hs.156169_at	25	-0.037911663420198811	0.85721702237262143	0.94210346826007896	false
Hs.156171_at	25	-0.2742792792338874	0.18457497644935325	0.51604397746465192	false
Hs.156178_at	25	0.039845931962045694	0.85001089083473114	0.93948079577698307	false
Hs.156213_at	25	0.34894204494917685	0.087339874567539832	0.39869948984963705	false
Hs.156231_at	25	-0.0034816833753243816	0.98682181138235781	0.99464940544824532	false
Hs.156289_at	25	0.18066068180849842	0.38747766803476641	0.68216320073079673	false
Hs.156291_at	25	-0.098647695634190805	0.63897412604386872	0.8400133269108665	false
Hs.156316_at	25	0.25687086235726542	0.21515020597452497	0.54540033905941132	false
Hs.156317_at	25	-0.34971575236591557	0.086593090351812146	0.39801498969627574	false
Hs.156326_at	25	0.35590541169982559	0.080790818140915946	0.38991280187864646	false
Hs.156346_at	25	-0.18607663372566968	0.37316271651203858	0.67271148957638482	false
Hs.156352_at	25	-0.26770276619160799	0.1957508326155985	0.52774130071483427	false
Hs.156369_at	25	0.46615871858509766	0.01883683544401198	0.27444640436097861	false
Hs.156398_at	25	0.17408416876621907	0.40527290825316031	0.69597674955082545	false
Hs.156445_at	25	-0.19884280610185909	0.34065313791780277	0.65006112061360388	false
Hs.156452_at	25	0.14816497030547088	0.47968236112352408	0.74771605312709566	false
Hs.156457_at	25	0.25145491044009416	0.22531835052582805	0.55505724214810426	false
Hs.156471_at	25	0.23133851760488663	0.26585794437950444	0.59057644935907405	false
Hs.156506_at	25	0.018955831710099406	0.92833918408393179	0.97256657268070856	false
Hs.156509_at	25	-0.43559727562391704	0.02951793922947378	0.30220890663444422	false
Hs.156527_at	25	0.090136914050064521	0.66829785547679998	0.85499369428456717	false
Hs.156540_at	25	0.15203350738916466	0.46815538284918079	0.74038248298251308	false
Hs.1565_at	25	-0.24449154368944542	0.23885508591866841	0.56798455051392938	false
Hs.156652_at	25	0.13888048130460587	0.50792527859761982	0.76518464908864803	false
Hs.156667_at	25	0.1458438480552546	0.48666719923542112	0.75217993526170512	false
Hs.15671_at	25	-0.44913715541684518	0.02430639049111747	0.28537976718723129	false
Hs.156727_at	25	-0.41625459020544825	0.038478603627178462	0.31922930786068676	false
Hs.156738_at	25	-0.37563495082666376	0.064248860627039772	0.3624401165521432	false
Hs.156784_at	25	0.18143438922523719	0.38541378394895459	0.68079821752095382	false
Hs.156814_at	25	-0.23868873806390481	0.25053631861918596	0.57677074520323324	false
Hs.156832_at	25	0.034816833753243813	0.86876973585039519	0.9478990265022762	false
Hs.156898_at	25	0.071181082339965118	0.73527753666498408	0.88688297408368189	false
