repository	dataset_accession	relative_path	file_name	size_bytes	manifest_recorded	artifact_type	fetch_status	source	sha256	candidate_type	parser_support	suggested_parser	classification_reason
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_personnel_role.txt	lk_personnel_role.txt	5622	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_plate_type.txt	lk_plate_type.txt	61	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_protein_name.txt	lk_protein_name.txt	79725	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_protocol_type.txt	lk_protocol_type.txt	2585	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_public_repository.txt	lk_public_repository.txt	5162	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_race.txt	lk_race.txt	1940	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_reagent_type.txt	lk_reagent_type.txt	3515	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_research_focus.txt	lk_research_focus.txt	4165	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_sample_type.txt	lk_sample_type.txt	23175	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_source_type.txt	lk_source_type.txt	297	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_species.txt	lk_species.txt	2104	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_study_file_type.txt	lk_study_file_type.txt	4046	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_study_panel.txt	lk_study_panel.txt	1742	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_subject_location.txt	lk_subject_location.txt	118461	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_t0_event.txt	lk_t0_event.txt	1142	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_time_unit.txt	lk_time_unit.txt	753	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_transcript_type.txt	lk_transcript_type.txt	1452	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
ImmPort	SDY1529	SDY1529/SDY1529-DR58_Tab/Tab/lk_unit_of_measure.txt	lk_unit_of_measure.txt	24163	false					tabular_supplement	potential		Tabular content may be useful, but no automatic parser is assigned.
