FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217851	7		ECD-A	hCD19	CD19
217853	10		APC-A	hTHBD	BDCA-3
217853	13		Pacific Blue-A	hCD86	CD86
217854	5		FITC-A	hCXCR5	CXCR5
217854	7		ECD-A	hPTPRC/iso:h6	CD45RA
217855	7		ECD-A	hCD19	CD19
217856	15		Time		Time
217857	7		ECD-A	hCD2	CD2
217857	10		APC-A	hTHBD	BDCA-3
217857	13		Pacific Blue-A	hCD86	CD86
217858	2		FSC-H		FSC-H
217858	12		APC-H7-A	hCD4	CD4
217858	15		Time		Time
217859	13		Pacific Blue-A	hCD86	CD86
217860	9		PE-Cy7-A	hCCR7	CCR7
217860	12		APC-H7-A	hFCGR3A	CD16
217862	8		PE-Cy5-A	hCXCR3	CXCR3
217863	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217863	14		Pacific Orange-A		VIVID
217864	4	SSC	SSC-H	SSC	SSC-H
217864	8		PE-Cy5-A	hCD40	CD40
217865	2		FSC-H		FSC-H
217865	6		PE-A	hCLEC4C	BDCA-2
217867	12		APC-H7-A	hCD27	CD27
217870	10		APC-A	hCD8A	CD8
217867	15		Time		Time
217868	4	SSC	SSC-H	SSC	SSC-H
217868	8		PE-Cy5-A	hCD40	CD40
217868	10		APC-A	hSECISBP2L	SLAN
217868	13		Pacific Blue-A	hCD86	CD86
217869	3	SSC	SSC-A	SSC	SSC-A
217869	11		Alexa Fluor 700-A	hHLA-DRA	DR
217871	2		FSC-H		FSC-H
217871	7		ECD-A	hCD19	CD19
217872	2		FSC-H		FSC-H
217872	8		PE-Cy5-A	hCD40	CD40
217872	9		PE-Cy7-A	hCCR7	CCR7
217872	10		APC-A	hSECISBP2L	SLAN
217872	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217872	15		Time		Time
217873	1		FSC-A		FSC-A
217873	6		PE-A	hCLEC4C	BDCA-2
217874	13		Pacific Blue-A	hPDCD1	PD-1
217875	15		Time		Time
217876	1		FSC-A		FSC-A
217876	5		FITC-A		CXC3CR1
217876	8		PE-Cy5-A	hCD40	CD40
217876	12		APC-H7-A	hFCGR3A	CD16
217876	13		Pacific Blue-A	hCD86	CD86
217876	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217876	15		Time		Time
217877	6		PE-A	hCLEC4C	BDCA-2
217877	12		APC-H7-A	hITGAX	CD11c
217878	1		FSC-A		FSC-A
217878	15		Time		Time
217879	3	SSC	SSC-A	SSC	SSC-A
217881	8		PE-Cy5-A	hCD40	CD40
217881	15		Time		Time
217882	7		ECD-A	hPTPRC/iso:h6	CD45RA
217882	9		PE-Cy7-A	hICOS	ICOS
217884	1		FSC-A		FSC-A
217884	2		FSC-H		FSC-H
217884	4	SSC	SSC-H	SSC	SSC-H
217884	5		FITC-A		CXC3CR1
217885	4	SSC	SSC-H	SSC	SSC-H
217885	11		Alexa Fluor 700-A	hHLA-DRA	DR
217887	11		Alexa Fluor 700-A	hCD3E, hCD14	CD3/CD14
217890	6		PE-A	hCCR6	CCR6
217890	8		PE-Cy5-A	hCXCR3	CXCR3
217891	7		ECD-A	hCD19	CD19
217891	15		Time		Time
217892	12		APC-H7-A	hFCGR3A	CD16
217893	7		ECD-A	hCD2	CD2
217894	4	SSC	SSC-H	SSC	SSC-H
217895	2		FSC-H		FSC-H
217895	5		FITC-A	hIGHD	IgD
217895	8		PE-Cy5-A	hMS4A1	CD20
217895	9		PE-Cy7-A	hCD38	CD38
217897	4	SSC	SSC-H	SSC	SSC-H
217897	7		ECD-A	hCD2	CD2
217897	9		PE-Cy7-A	hCD1C	CD1c
217900	2		FSC-H		FSC-H
217898	1		FSC-A		FSC-A
217898	7		ECD-A	hPTPRC/iso:h6	CD45RA
217898	9		PE-Cy7-A	hICOS	ICOS
217898	11		Alexa Fluor 700-A	hCD3E	CD3
217899	1		FSC-A		FSC-A
217899	15		Time		Time
217901	2		FSC-H		FSC-H
217901	11		Alexa Fluor 700-A	hHLA-DRA	DR
217902	2		FSC-H		FSC-H
217902	13		Pacific Blue-A	hPDCD1	PD-1
217903	2		FSC-H		FSC-H
217903	9		PE-Cy7-A	hCD38	CD38
217904	2		FSC-H		FSC-H
217905	4	SSC	SSC-H	SSC	SSC-H
217905	9		PE-Cy7-A	hCD1C	CD1c
217906	7		ECD-A	hPTPRC/iso:h6	CD45RA
217906	8		PE-Cy5-A	hCXCR3	CXCR3
217907	7		ECD-A	hCD19	CD19
217907	9		PE-Cy7-A	hCD38	CD38
217908	12		APC-H7-A	hFCGR3A	CD16
217909	2		FSC-H		FSC-H
217910	5		FITC-A	hCXCR5	CXCR5
217910	7		ECD-A	hPTPRC/iso:h6	CD45RA
217910	11		Alexa Fluor 700-A	hCD3E	CD3
217910	15		Time		Time
217912	11		Alexa Fluor 700-A	hHLA-DRA	DR
217913	8		PE-Cy5-A	hCD40	CD40
