NAME	DISEASE_ONTOLOGY_ID	DESCRIPTION	LINK	HUMAN_PHENOTYPE_ID
disease	DOID:4	A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism.	http://purl.obolibrary.org/obo/DOID_4	
malaria	DOID:12365	A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells, transmitted from an infected to an uninfected individual by the bite of anopheline mosquitoes, and characterized by periodic attacks of chills and fever that coincide with mass destruction of blood cells and the release of toxic substances by the parasite at the end of each reproductive cycle.	http://purl.obolibrary.org/obo/DOID_12365	
liver disease	DOID:409	liver disease	http://purl.obolibrary.org/obo/DOID_409	HP:0001392
autoimmune disease	DOID:417	An immune system disease that is an overactive immune response of the body against substances and tissues normally present in the body resulting from an abnormal functioning of the immune system that results in the production of antibodies or T cell directed against the host tissues.	http://purl.obolibrary.org/obo/DOID_417	
scleroderma	DOID:419	A rheumatic disease that involves the abnormal growth of connective tissue, which supports the skin and internal organs.	http://purl.obolibrary.org/obo/DOID_419	HP:0100324
rhinitis	DOID:4483	A upper respiratory infectious disease which involves irritation and inflammation of the mucous membrane of the nose due to viruses, bacteria or irritants. The inflammation results in generation of excessive amounts of mucus leading to runny nose, as well as nasal congestion and post-nasal drip.	http://purl.obolibrary.org/obo/DOID_4483	HP:0012384
nutritional deficiency disease	DOID:5113	A nutrition disease that is characterized by deficiency of a nutritional element, such as a vitamin, mineral, carbohydrate, protein, fat, or general energy content.	http://purl.obolibrary.org/obo/DOID_5113	
osteoarthritis	DOID:8398	An arthritis that has_material_basis_in worn out cartilage located_in joint.	http://purl.obolibrary.org/obo/DOID_8398	HP:0002758
pituitary gland disease	DOID:53	An endocrine system disease that is located_in the pituitary gland.	http://purl.obolibrary.org/obo/DOID_53	
cranial nerve disease	DOID:5656	A neuropathy that is located_in one of the twelve cranial nerves.	http://purl.obolibrary.org/obo/DOID_5656	HP:0006824
Lyme disease	DOID:11729	A primary bacterial infectious disease that results_in infection, has_material_basis_in Borrelia burgdorferi, which is transmitted_by blacklegged tick (Ixodes scapularis) or transmitted_by western blacklegged tick (Ixodes pacificus). The infection has_symptom fever, has_symptom headache, has_symptom fatigue, and has_symptom skin rash called erythema migrans. If left untreated, infection can spread to joints, the heart, and the nervous system.	http://purl.obolibrary.org/obo/DOID_11729	
West Nile fever	DOID:2366	A viral infectious disease that results_in infection, has_material_basis_in West Nile virus, which is transmitted_by Culex and transmitted_by Aedes mosquitoes. The infection has_symptom fever, has_symptom sore throat, has_symptom headache, has_symptom body ache, has_symptom nausea, has_symptom maculopapular rash and has_symptom vomiting.	http://purl.obolibrary.org/obo/DOID_2366	
Cytomegaloviral Infection	NCIT:C53649	A herpesvirus infection caused by Cytomegalovirus. Healthy individuals generally do not produce symptoms. However, the infection may be life-threatening in affected immunocompromised patients. The virus may cause retinitis, esophagitis, gastritis, and colitis. Morphologically, it is characterized by the presence of intranuclear inclusion bodies.	http://purl.obolibrary.org/obo/NCIT_C53649	
breast cancer	DOID:1612	A thoracic cancer that originates in the mammary gland.	http://purl.obolibrary.org/obo/DOID_1612	HP:0003002
EBV Infection	NCIT:C38759	An infection that is caused by Epstein-Barr virus.	http://purl.obolibrary.org/obo/NCIT_C38759	
anthrax disease	DOID:7427	A primary bacterial infectious disease that results_in infection located_in skin, located_in lung lymph nodes or located_in gastrointestinal tract, has_material_basis_in Bacillus anthracis, transmitted_by contact with infected animals or animal products, transmitted_by airborne spores or transmitted_by ingestion of undercooked meat from infected animals and has_symptom skin ulcer, has_symptom nausea, has_symptom poor appetite, has_symptom bloody diarrhea, has_symptom fever or has_symptom shortness of breath.	http://purl.obolibrary.org/obo/DOID_7427	
Escherichia Coli Infection	NCIT:C34594	Infection with the organism Escherichia Coli.	http://purl.obolibrary.org/obo/NCIT_C34594	HP:0002740
avian influenza	DOID:4492	An influenza that results in infection located in respiratory tract of humans, domestic and wild birds, has_material_basis_in Influenza A virus, which is transmitted by contact with infected poultry. Five strains of avian influenza A viruses (H5N1, H7N3, H7N2, H7N7 and H9N2) are known to cause human infections. The infection has_symptom fever, has_symptom cough, has_symptom sore throat, has_symptom muscle aches, has_symptom nausea, has_symptom diarrhea, has_symptom vomiting, has_symptom neurologic changes, has_symptom pneumonia, and has_symptom acute respiratory distress.	http://purl.obolibrary.org/obo/DOID_4492	
