FILE_INFO_ID	DETAIL	FILESIZE_BYTES	NAME	ORIGINAL_FILE_NAME	WORKSPACE_ID
570974	Flow cytometry compensation or control	303016	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD16 APC-H7 Stained Control.570974.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD16 APC-H7 Stained Control.fcs	2799
570975	Flow cytometry compensation or control	303017	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD1c PE-Cy7 Stained Control.570975.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD1c PE-Cy7 Stained Control.fcs	2799
570976	Flow cytometry compensation or control	303015	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD20 PE-Cy5 Stained Control.570976.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD20 PE-Cy5 Stained Control.fcs	2799
570977	Flow cytometry compensation or control	303014	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD27 APC-H7 Stained Control.570977.fcs	ExVivo_PBMC_Phenotyping_PT9--Compensation Controls_CD27 APC-H7 Stained Control.fcs	2799
570978	Flow cytometry result	11389641	009_V1_041712_Tube_002.570978.fcs	009_V1_041712_Tube_002.fcs	2799
570979	Flow cytometry result	10952676	009_V1_041712_Tube_003.570979.fcs	009_V1_041712_Tube_003.fcs	2799
570980	Flow cytometry result	12784609	009_V1_041712_Tube_004.570980.fcs	009_V1_041712_Tube_004.fcs	2799
570981	Flow cytometry result	15190961	009_V2_41712_Tube_001.570981.fcs	009_V2_41712_Tube_001.fcs	2799
570982	Flow cytometry result	14990989	009_V2_41712_Tube_002.570982.fcs	009_V2_41712_Tube_002.fcs	2799
570983	Flow cytometry result	32414954	009_V2_41712_Tube_003.570983.fcs	009_V2_41712_Tube_003.fcs	2799
570984	Flow cytometry result	13819678	009_V2_41712_Tube_004.570984.fcs	009_V2_41712_Tube_004.fcs	2799
570985	Flow cytometry result	6199536	009_V3_41712_Tube_001.570985.fcs	009_V3_41712_Tube_001.fcs	2799
570986	Flow cytometry result	10536049	009_V3_41712_Tube_002.570986.fcs	009_V3_41712_Tube_002.fcs	2799
570987	Flow cytometry result	9891375	009_V3_41712_Tube_003.570987.fcs	009_V3_41712_Tube_003.fcs	2799
570988	Flow cytometry result	13823102	009_V3_41712_Tube_004.570988.fcs	009_V3_41712_Tube_004.fcs	2799
570989	Flow cytometry result	9012400	009_V4_41712_Tube_001.570989.fcs	009_V4_41712_Tube_001.fcs	2799
570990	Flow cytometry result	11850714	009_V4_41712_Tube_002.570990.fcs	009_V4_41712_Tube_002.fcs	2799
